age,gender,height,weight,bmi,calories_intake,exercise_type,intensity_level,frequency_per_week,activity_level,recommended_calories,protein_grams_per_day,carbs_grams_per_day,fats_grams_per_day
34,female,1.51,55,24.1,2768,cardio+strength,high,5,very active,2005.7,160.5,210.6,57.9
50,female,1.77,87,27.8,2023,yoga,low,3,sedentary,1378.3,137.8,86.1,53.6
57,male,1.77,99,31.6,3582,cardio,high,6,very active,2633.0,263.3,230.4,73.1
38,male,1.63,68,25.6,2377,cardio,high,6,very active,2111.2,211.1,184.7,58.6
36,female,1.55,62,25.8,2134,cardio,high,5,very active,1652.4,165.2,144.6,45.9
19,female,1.87,57,16.3,3579,cardio+strength,high,4,moderate,2598.3,207.9,337.8,46.2
64,male,1.78,61,19.3,3946,strength,low,5,sedentary,1689.0,147.8,168.9,46.9
39,male,1.53,66,28.2,3292,cardio,high,5,very active,1960.3,196.0,171.5,54.5
17,female,1.63,75,28.2,3319,cardio,high,6,very active,2126.7,212.7,186.1,59.1
54,female,1.83,102,30.5,2458,bodyweight,low,3,sedentary,1579.3,157.9,118.4,52.6
49,male,1.6,105,41.0,2294,yoga,high,3,moderate,2305.5,230.6,144.1,89.7
38,female,1.68,81,28.7,3064,yoga,low,3,sedentary,1310.8,131.1,81.9,51.0
47,female,1.93,70,18.8,3976,yoga,medium,3,moderate,2340.9,175.6,204.8,91.0
23,female,1.48,106,48.4,3020,cardio+strength,medium,4,moderate,2149.0,225.6,171.9,62.1
50,male,1.81,60,18.3,2667,cardio,high,6,very active,2863.8,214.8,393.8,47.7
20,male,1.59,110,43.5,2103,yoga,low,3,sedentary,1898.5,189.9,118.7,73.8
42,male,1.92,73,19.8,3347,yoga,low,3,sedentary,2070.0,155.2,181.1,80.5
37,male,1.66,95,34.5,3556,yoga,low,2,light,1985.3,198.5,124.1,77.2
38,male,1.64,55,20.4,3035,yoga,low,4,sedentary,1668.0,125.1,146.0,64.9
29,male,1.61,57,22.0,2873,cardio,high,5,very active,2477.5,185.8,278.7,68.8
65,male,1.52,81,35.1,3435,bodyweight,low,3,sedentary,1228.0,122.8,92.1,40.9
59,male,1.83,105,31.4,3337,cardio+strength,high,5,very active,2784.0,292.3,222.7,80.4
54,male,1.9,47,13.0,2548,yoga,low,3,sedentary,1971.0,147.8,221.7,54.8
28,male,1.72,99,33.5,1955,yoga,low,4,sedentary,1816.0,181.6,113.5,70.6
64,female,1.57,60,24.3,1695,cardio+strength,medium,4,moderate,1705.4,136.4,179.1,49.3
30,female,1.77,103,32.9,1757,cardio+strength,medium,5,moderate,2329.1,244.6,186.3,67.3
22,female,1.75,47,15.3,3610,cardio,high,6,very active,2530.0,189.8,347.9,42.2
51,male,1.81,82,25.0,3258,cardio+strength,medium,4,moderate,2136.9,224.4,171.0,61.7
15,female,1.57,98,39.8,2267,bodyweight,low,3,sedentary,1570.3,157.0,117.8,52.3
57,male,1.71,91,31.1,1777,cardio+strength,medium,4,moderate,2133.1,224.0,170.6,61.6
48,male,1.65,105,38.6,1678,cardio,high,5,very active,2684.8,268.5,234.9,74.6
55,female,1.94,77,20.5,1566,yoga,low,3,sedentary,1855.8,139.2,162.4,72.2
37,male,1.62,58,22.1,3883,cardio+strength,medium,4,moderate,2189.4,175.2,229.9,63.2
62,female,1.52,90,39.0,3736,yoga,low,3,sedentary,1154.8,115.5,72.2,44.9
36,male,1.87,104,29.7,3460,yoga,low,2,light,2296.4,229.6,143.5,89.3
55,male,1.86,53,15.3,3374,strength,low,4,sedentary,2007.0,175.6,250.9,33.5
17,female,1.55,70,29.1,1671,bodyweight,low,3,sedentary,1207.3,120.7,90.5,40.2
35,female,1.71,105,35.9,2537,bodyweight,low,3,sedentary,1639.3,163.9,122.9,54.6
17,male,1.59,51,20.2,2859,cardio+strength,high,4,moderate,2206.8,176.5,231.7,63.8
32,male,1.85,100,29.2,3138,cardio+strength,medium,4,moderate,2601.9,273.2,208.2,75.2
62,female,1.9,94,26.0,2888,yoga,low,3,sedentary,1487.8,148.8,93.0,57.9
26,female,1.8,92,28.4,3626,yoga,low,3,sedentary,1604.8,160.5,100.3,62.4
32,male,1.81,55,16.8,3263,cardio+strength,medium,4,moderate,2665.7,213.3,346.5,47.4
53,male,1.72,86,29.1,1920,cardio+strength,high,5,very active,2389.4,250.9,191.2,69.0
20,female,1.78,84,26.5,3326,cardio,high,5,very active,2417.8,241.8,211.6,67.2
53,female,1.53,101,43.1,2939,cardio,high,6,very active,2156.9,215.7,188.7,59.9
43,male,1.81,90,27.5,3281,cardio+strength,high,5,very active,2641.7,277.4,211.3,76.3
32,male,1.49,96,43.2,2988,yoga,low,4,sedentary,1583.5,158.4,99.0,61.6
47,male,1.93,63,16.9,3988,cardio,high,6,very active,3070.8,230.3,422.2,51.2
58,female,1.47,53,24.5,2466,cardio,high,5,very active,1721.1,129.1,193.6,47.8
64,female,1.63,49,18.4,3978,yoga,low,4,sedentary,1533.3,115.0,172.5,42.6
24,female,1.92,92,25.0,3318,cardio,high,6,very active,2672.3,267.2,233.8,74.2
63,male,1.74,91,30.1,3130,strength,low,5,sedentary,1525.0,171.6,114.4,42.4
35,female,1.57,59,23.9,1606,yoga,low,4,sedentary,1482.3,111.2,129.7,57.6
62,male,1.7,94,32.5,3800,cardio,high,5,very active,2428.2,242.8,212.5,67.4
22,female,1.84,102,30.1,2378,cardio,high,6,very active,2775.8,277.6,242.9,77.1
54,female,1.8,107,33.0,2319,cardio,high,5,very active,2542.9,254.3,222.5,70.6
22,male,1.88,102,28.9,2207,yoga,low,2,light,2373.8,237.4,148.4,92.3
60,female,1.95,85,22.4,2923,yoga,low,3,sedentary,1929.3,144.7,168.8,75.0
60,male,1.72,82,27.7,2728,yoga,low,3,sedentary,1420.0,142.0,88.8,55.2
25,male,1.85,110,32.1,2418,cardio+strength,medium,5,moderate,2811.2,295.2,224.9,81.2
22,male,1.85,75,21.9,3523,yoga,low,2,light,2476.7,185.8,216.7,96.3
16,female,1.73,92,30.7,3414,strength,low,5,sedentary,1612.3,181.4,120.9,44.8
50,male,1.76,56,18.1,1769,strength,low,5,sedentary,1998.0,174.8,249.8,33.3
34,female,1.95,106,27.9,3653,cardio,high,6,very active,2859.9,286.0,250.2,79.4
41,female,1.86,54,15.6,2013,cardio+strength,medium,4,moderate,2371.6,189.7,308.3,42.2
35,male,1.67,89,31.9,2025,cardio,high,6,very active,2542.5,254.2,222.5,70.6
64,male,1.83,61,18.2,3272,yoga,high,3,moderate,2530.1,189.8,284.6,70.3
47,male,1.87,64,18.3,2745,yoga,low,4,sedentary,2194.5,164.6,246.9,61.0
25,male,1.61,73,28.2,2917,cardio+strength,medium,3,moderate,2005.2,210.5,160.4,57.9
48,female,1.87,77,22.0,2304,yoga,high,3,moderate,2383.5,178.8,208.6,92.7
55,female,1.51,83,36.4,3685,cardio+strength,medium,4,moderate,1573.5,165.2,125.9,45.5
20,male,1.75,64,20.9,2201,cardio,high,5,very active,2826.8,212.0,318.0,78.5
57,female,1.87,50,14.3,1616,cardio,high,6,very active,2409.2,180.7,331.3,40.2
20,male,1.92,78,21.2,2363,strength,low,3,sedentary,2262.0,197.9,226.2,62.8
64,female,1.76,48,15.5,3539,yoga,low,4,sedentary,1618.8,121.4,182.1,45.0
55,female,1.77,83,26.5,3478,cardio,high,6,very active,2087.9,208.8,182.7,58.0
30,female,1.6,54,21.1,1745,cardio,high,6,very active,2120.0,159.0,238.5,58.9
25,female,1.66,104,37.7,2335,cardio+strength,medium,4,moderate,2276.8,239.1,182.1,65.8
36,male,1.61,85,32.8,2914,cardio+strength,medium,4,moderate,2105.9,221.1,168.5,60.8
40,male,1.83,110,32.8,3800,yoga,medium,3,moderate,2675.6,267.6,167.2,104.1
21,female,1.57,60,24.3,2595,yoga,low,4,sedentary,1578.3,118.4,138.1,61.4
43,male,1.52,51,22.1,2688,yoga,low,4,sedentary,1500.0,112.5,131.2,58.3
39,female,1.57,65,26.4,2841,cardio,high,5,very active,1699.8,170.0,148.7,47.2
51,female,1.54,65,27.4,3540,cardio+strength,medium,3,moderate,1354.6,142.2,108.4,39.1
47,female,1.7,84,29.1,3537,yoga,low,2,light,1571.4,157.1,98.2,61.1
16,male,1.92,109,29.6,3372,yoga,low,4,sedentary,2158.0,215.8,134.9,83.9
30,male,1.74,51,16.8,1707,yoga,high,3,moderate,2551.4,191.4,287.0,70.9
33,female,1.75,105,34.3,2670,bodyweight,low,3,sedentary,1681.3,168.1,126.1,56.0
49,male,1.87,100,28.6,2048,cardio,high,6,very active,2827.1,282.7,247.4,78.5
31,female,1.83,91,27.2,1685,cardio,high,5,very active,2497.6,249.8,218.5,69.4
40,male,1.74,69,22.8,2984,yoga,low,3,sedentary,1899.0,142.4,166.2,73.8
50,female,1.49,109,49.1,3344,strength,low,3,sedentary,1432.3,161.1,107.4,39.8
63,female,1.86,60,17.3,2027,cardio+strength,medium,6,moderate,2294.1,183.5,298.2,40.8
21,female,1.64,88,32.7,3784,bodyweight,low,3,sedentary,1466.8,146.7,110.0,48.9
38,male,1.55,110,45.8,3144,bodyweight,low,3,sedentary,1760.5,176.1,132.0,58.7
47,male,1.47,62,28.7,2864,yoga,low,4,sedentary,1070.5,107.1,66.9,41.6
45,female,1.52,110,47.6,2072,cardio+strength,medium,5,moderate,2079.2,218.3,166.3,60.1
35,female,1.53,83,35.5,3931,cardio+strength,medium,3,moderate,1747.9,183.5,139.8,50.5
36,female,1.8,83,25.6,3445,cardio+strength,medium,4,moderate,2001.7,210.2,160.1,57.8
16,female,1.62,59,22.5,3206,bodyweight,low,3,sedentary,1633.8,122.5,163.4,54.5
52,female,1.85,48,14.0,3944,cardio,high,6,very active,2396.3,179.7,329.5,39.9
45,female,1.93,74,19.9,1710,cardio+strength,high,4,moderate,2418.4,193.5,253.9,69.9
52,female,1.54,93,39.2,2105,yoga,low,3,sedentary,1265.8,126.6,79.1,49.2
58,male,1.47,59,27.3,2281,strength,low,3,sedentary,968.5,109.0,72.6,26.9
16,female,1.61,64,24.7,3191,cardio,high,5,very active,2424.1,181.8,272.7,67.3
59,male,1.66,105,38.1,1755,bodyweight,low,3,sedentary,1657.0,165.7,124.3,55.2
60,male,1.71,86,29.4,3459,yoga,low,3,sedentary,1460.5,146.1,91.3,56.8
48,female,1.61,67,25.8,3382,cardio,high,5,very active,1699.8,170.0,148.7,47.2
49,female,1.72,78,26.4,3998,yoga,low,3,sedentary,1238.8,123.9,77.4,48.2
45,male,1.93,80,21.5,3785,cardio,high,6,very active,3081.3,231.1,346.6,85.6
34,male,1.92,83,22.5,2683,yoga,low,4,sedentary,2238.0,167.8,195.8,87.0
60,male,1.8,107,33.0,2798,cardio,high,6,very active,2777.5,277.8,243.0,77.2
45,female,1.73,80,26.7,2678,yoga,low,3,sedentary,1294.3,129.4,80.9,50.3
22,female,1.9,95,26.3,2913,yoga,low,3,sedentary,1739.8,174.0,108.7,67.7
64,male,1.6,81,31.6,1823,cardio+strength,medium,4,moderate,1817.2,190.8,145.4,52.5
37,female,1.78,106,33.5,2376,cardio,high,5,very active,2650.7,265.1,231.9,73.6
27,female,1.92,79,21.4,2062,yoga,low,4,sedentary,2032.8,152.5,177.9,79.1
21,male,1.57,73,29.6,2453,strength,low,6,sedentary,1433.5,161.3,107.5,39.8
18,male,1.66,105,38.1,1911,cardio+strength,medium,4,moderate,2603.9,273.4,208.3,75.2
58,male,1.45,65,30.9,3166,yoga,low,3,sedentary,1025.5,102.6,64.1,39.9
56,female,1.69,70,24.5,2676,cardio+strength,high,6,very active,2268.8,181.5,238.2,65.5
35,female,1.77,56,17.9,3851,cardio+strength,medium,5,moderate,2361.9,189.0,307.0,42.0
29,male,1.91,67,18.4,3211,yoga,low,2,light,2670.2,200.3,300.4,74.2
26,male,1.95,95,25.0,3529,cardio,high,5,very active,3025.5,302.6,264.7,84.0
26,female,1.89,46,12.9,2722,cardio,high,6,very active,2629.2,197.2,361.5,43.8
51,male,1.91,87,23.8,2665,bodyweight,low,3,sedentary,2176.5,163.2,217.7,72.5
44,female,1.89,62,17.4,3565,yoga,low,4,sedentary,2004.3,150.3,225.5,55.7
44,female,1.55,59,24.6,2854,cardio,high,5,very active,2031.6,152.4,228.6,56.4
25,female,1.77,68,21.7,1557,strength,low,4,sedentary,1800.3,157.5,180.0,50.0
62,female,1.85,69,20.2,2218,yoga,low,2,light,1891.0,141.8,165.5,73.5
54,female,1.86,110,31.8,2843,yoga,high,3,moderate,2338.8,233.9,146.2,91.0
20,female,1.78,68,21.5,2075,yoga,low,4,sedentary,1837.8,137.8,160.8,71.5
45,female,1.92,45,12.2,2568,yoga,low,4,sedentary,1816.8,136.3,204.4,50.5
39,male,1.67,79,28.3,2850,cardio+strength,high,6,very active,2335.5,245.2,186.8,67.5
34,male,1.58,91,36.5,2467,cardio,high,6,very active,2488.6,248.9,217.8,69.1
18,male,1.68,65,23.0,3160,cardio,high,5,very active,2785.9,208.9,313.4,77.4
58,female,1.8,82,25.3,3005,cardio,high,6,very active,2077.2,207.7,181.8,57.7
54,male,1.56,62,25.5,3458,yoga,low,3,sedentary,1096.0,109.6,68.5,42.6
24,female,1.82,92,27.8,3203,cardio+strength,high,5,very active,2564.5,269.3,205.2,74.1
59,female,1.83,72,21.5,2513,yoga,low,4,sedentary,1689.3,126.7,147.8,65.7
58,male,1.71,91,31.1,1819,cardio,high,5,very active,2421.7,242.2,211.9,67.3
51,male,1.48,109,49.8,2328,cardio+strength,medium,3,moderate,2235.8,234.8,178.9,64.6
51,male,1.53,101,43.1,1976,cardio+strength,high,6,very active,2460.5,258.4,196.8,71.1
58,male,1.81,107,32.7,1872,cardio+strength,high,4,moderate,2470.2,259.4,197.6,71.4
47,female,1.85,103,30.1,2040,yoga,low,3,sedentary,1648.3,164.8,103.0,64.1
47,female,1.68,52,18.4,3788,cardio,high,5,very active,2325.2,174.4,319.7,38.8
44,female,1.81,95,29.0,2542,yoga,low,2,light,1837.8,183.8,114.9,71.5
15,male,1.74,50,16.5,3235,yoga,low,2,light,2386.6,179.0,268.5,66.3
37,male,1.72,52,17.6,1782,cardio,high,5,very active,2740.9,205.6,376.9,45.7
45,male,1.59,68,26.9,2054,yoga,low,4,sedentary,1244.5,124.5,77.8,48.4
64,female,1.64,93,34.6,3337,cardio+strength,medium,4,moderate,1784.7,187.4,142.8,51.6
39,female,1.49,62,27.9,2924,cardio+strength,medium,4,moderate,1352.6,142.0,108.2,39.1
22,male,1.95,95,25.0,3666,yoga,low,3,sedentary,1976.5,197.7,123.5,76.9
23,male,1.87,47,13.4,2722,strength,low,3,sedentary,2134.5,186.8,266.8,35.6
44,female,1.72,74,25.0,2513,cardio+strength,high,6,very active,1973.7,207.2,157.9,57.0
44,female,1.53,69,29.5,1962,yoga,low,4,sedentary,1018.3,101.8,63.6,39.6
17,female,1.76,47,15.2,2485,yoga,low,3,sedentary,1888.8,141.7,212.5,52.5
28,male,1.5,49,21.8,3328,strength,low,6,sedentary,1551.0,135.7,155.1,43.1
53,male,1.57,50,20.3,3147,yoga,low,3,sedentary,1465.5,109.9,128.2,57.0
43,male,1.72,52,17.6,2073,cardio,high,5,very active,2689.1,201.7,369.8,44.8
47,female,1.57,85,34.5,3865,yoga,low,2,light,1473.5,147.3,92.1,57.3
53,female,1.57,63,25.6,3635,yoga,low,2,light,1129.7,113.0,70.6,43.9
29,female,1.6,52,20.3,3780,strength,low,3,sedentary,1456.8,127.5,145.7,40.5
52,male,1.76,99,32.0,3776,cardio+strength,medium,5,moderate,2344.2,246.1,187.5,67.7
46,male,1.94,93,24.7,3648,yoga,low,3,sedentary,2301.0,172.6,201.3,89.5
35,female,1.65,83,30.5,3041,yoga,low,3,sedentary,1330.3,133.0,83.1,51.7
26,female,1.57,73,29.6,2731,cardio,high,5,very active,1949.9,195.0,170.6,54.2
60,male,1.85,52,15.2,3803,yoga,low,2,light,2199.2,164.9,247.4,61.1
41,female,1.73,62,20.7,3090,cardio+strength,medium,4,moderate,2069.6,165.6,217.3,59.8
30,female,1.55,55,22.9,3342,cardio+strength,medium,5,moderate,1872.0,149.8,196.6,54.1
38,male,1.72,69,23.3,1711,yoga,low,4,sedentary,1896.0,142.2,165.9,73.7
32,female,1.79,50,15.6,1798,cardio,high,5,very active,2538.6,190.4,349.1,42.3
27,male,1.69,87,30.5,2741,cardio,high,6,very active,2598.5,259.9,227.4,72.2
15,male,1.92,60,16.3,3461,cardio+strength,medium,5,moderate,2981.5,238.5,387.6,53.0
30,male,1.65,75,27.5,3761,bodyweight,low,3,sedentary,1463.5,146.3,109.8,48.8
35,female,1.64,90,33.5,2763,yoga,low,3,sedentary,1406.8,140.7,87.9,54.7
31,female,1.71,108,36.9,3408,cardio,high,5,very active,2661.5,266.2,232.9,73.9
21,female,1.83,85,25.4,2332,cardio,high,5,very active,2480.4,248.0,217.0,68.9
38,female,1.66,73,26.5,2097,yoga,low,4,sedentary,1199.8,120.0,75.0,46.7
16,female,1.73,98,32.7,2709,strength,low,4,sedentary,1684.3,189.5,126.3,46.8
24,male,1.61,93,35.9,3833,cardio,high,6,very active,2641.7,264.2,231.1,73.4
30,female,1.73,88,29.4,2554,cardio,high,5,very active,2346.7,234.7,205.3,65.2
63,female,1.93,107,28.7,3387,strength,low,5,sedentary,1660.3,186.8,124.5,46.1
25,female,1.53,107,45.7,2253,cardio+strength,high,5,very active,2501.9,262.7,200.2,72.3
49,male,1.71,54,18.5,1698,yoga,low,4,sedentary,1642.5,123.2,143.7,63.9
63,male,1.66,74,26.9,1778,cardio,high,6,very active,2031.4,203.1,177.7,56.4
60,male,1.45,109,51.8,3367,cardio,high,6,very active,2434.7,243.5,213.0,67.6
38,male,1.76,106,34.2,3498,cardio+strength,high,4,moderate,2561.2,268.9,204.9,74.0
16,male,1.72,97,32.8,1548,strength,low,6,sedentary,1864.0,209.7,139.8,51.8
16,female,1.72,81,27.4,1570,cardio+strength,medium,4,moderate,2048.2,215.1,163.9,59.2
47,female,1.85,67,19.6,1938,yoga,low,3,sedentary,1716.3,128.7,150.2,66.7
21,male,1.57,77,31.2,2951,strength,low,4,sedentary,1481.5,166.7,111.1,41.2
32,female,1.49,96,43.2,3380,cardio,high,6,very active,2208.7,220.9,193.3,61.4
51,male,1.95,73,19.2,2728,cardio,high,5,very active,2930.3,219.8,329.7,81.4
58,male,1.78,49,15.5,1882,cardio+strength,medium,4,moderate,2342.1,187.4,304.5,41.6
40,female,1.64,105,39.0,1729,bodyweight,low,3,sedentary,1556.8,155.7,116.8,51.9
55,male,1.8,55,17.0,3547,cardio,high,5,very active,2723.6,204.3,374.5,45.4
42,female,1.73,57,19.0,3663,strength,low,5,sedentary,1536.3,134.4,153.6,42.7
17,male,1.56,105,43.1,2610,strength,low,6,sedentary,1834.0,206.3,137.5,50.9
17,male,1.79,80,25.0,3724,yoga,low,3,sedentary,1706.5,170.7,106.7,66.4
51,male,1.54,85,35.8,1564,strength,low,3,sedentary,1375.0,154.7,103.1,38.2
28,male,1.83,95,28.4,1815,cardio+strength,high,6,very active,2878.8,302.3,230.3,83.2
34,male,1.73,94,31.4,3714,cardio+strength,medium,4,moderate,2377.2,249.6,190.2,68.7
36,female,1.83,62,18.5,1821,yoga,low,4,sedentary,1707.3,128.0,149.4,66.4
47,female,1.48,100,45.7,2450,yoga,low,2,light,1602.4,160.2,100.2,62.3
19,female,1.75,95,31.0,2836,cardio+strength,high,5,very active,2583.9,271.3,206.7,74.6
16,female,1.84,102,30.1,3509,cardio+strength,high,5,very active,2827.5,296.9,226.2,81.7
29,female,1.73,93,31.1,3268,cardio,high,5,very active,2441.6,244.2,213.6,67.8
26,female,1.49,82,36.9,2509,cardio,high,5,very active,2018.9,201.9,176.7,56.1
60,male,1.49,64,28.8,3056,yoga,low,3,sedentary,1031.5,103.2,64.5,40.1
60,male,1.82,85,25.7,2977,yoga,medium,2,light,1827.2,182.7,114.2,71.1
21,male,1.45,84,40.0,3321,cardio,high,5,very active,2339.8,234.0,204.7,65.0
38,female,1.5,56,24.9,2267,yoga,low,2,light,1576.4,118.2,137.9,61.3
42,female,1.73,110,36.8,3171,strength,low,3,sedentary,1672.3,188.1,125.4,46.5
21,male,1.49,56,25.2,3945,bodyweight,low,3,sedentary,1169.5,117.0,87.7,39.0
53,female,1.88,46,13.0,2695,cardio,high,5,very active,2385.5,178.9,328.0,39.8
41,female,1.84,76,22.4,3842,cardio+strength,medium,5,moderate,2393.2,191.5,251.3,69.1
48,male,1.79,66,20.6,2068,cardio,high,5,very active,2663.0,199.7,299.6,74.0
32,female,1.58,63,25.2,1759,cardio+strength,high,6,very active,1736.5,182.3,138.9,50.2
25,female,1.59,83,32.8,3483,cardio+strength,high,5,very active,2152.6,226.0,172.2,62.2
65,male,1.63,76,28.6,3530,cardio+strength,medium,3,moderate,1761.1,184.9,140.9,50.9
53,male,1.68,62,22.0,2747,bodyweight,low,3,sedentary,1692.0,126.9,169.2,56.4
15,female,1.62,93,35.4,2849,yoga,low,4,sedentary,1547.8,154.8,96.7,60.2
43,female,1.67,62,22.2,2730,strength,low,5,sedentary,1545.3,135.2,154.5,42.9
35,male,1.69,67,23.5,3131,strength,low,3,sedentary,1867.5,163.4,186.8,51.9
35,female,1.82,107,32.3,3858,yoga,low,4,sedentary,1745.8,174.6,109.1,67.9
65,male,1.61,80,30.9,3109,yoga,low,2,light,1543.6,154.4,96.5,60.0
38,male,1.92,70,19.0,3925,cardio+strength,medium,3,moderate,2658.2,212.7,279.1,76.8
49,male,1.79,48,15.0,3390,yoga,low,4,sedentary,1930.5,144.8,217.2,53.6
60,male,1.67,82,29.4,1783,cardio+strength,medium,3,moderate,1931.6,202.8,154.5,55.8
65,female,1.79,62,19.4,2740,cardio,high,6,very active,2161.0,162.1,243.1,60.0
30,female,1.78,99,31.2,3044,yoga,low,2,light,1963.3,196.3,122.7,76.4
19,female,1.95,106,27.9,3884,cardio+strength,medium,5,moderate,2635.3,276.7,210.8,76.1
40,female,1.72,91,30.8,3699,yoga,high,3,moderate,2017.2,201.7,126.1,78.4
53,male,1.5,76,33.8,2954,yoga,low,3,sedentary,1225.0,122.5,76.6,47.6
25,male,1.73,96,32.1,2858,yoga,low,4,sedentary,1805.5,180.6,112.8,70.2
65,female,1.5,57,25.3,2559,cardio+strength,medium,4,moderate,1083.3,113.7,86.7,31.3
29,male,1.67,95,34.1,3396,cardio+strength,high,5,very active,2697.7,283.3,215.8,77.9
64,male,1.62,48,18.3,3477,cardio+strength,medium,5,moderate,2125.1,170.0,276.3,37.8
21,female,1.66,55,20.0,1975,bodyweight,low,3,sedentary,1585.8,118.9,158.6,52.9
61,male,1.62,88,33.5,3365,cardio,high,5,very active,2247.1,224.7,196.6,62.4
65,male,1.71,89,30.4,3450,cardio+strength,medium,4,moderate,2040.1,214.2,163.2,58.9
21,female,1.81,102,31.1,2806,cardio+strength,high,6,very active,2752.1,289.0,220.2,79.5
19,female,1.47,59,27.3,1592,cardio,high,6,very active,1661.0,166.1,145.3,46.1
36,male,1.79,66,20.6,2499,yoga,low,2,light,2205.2,165.4,193.0,85.8
48,male,1.73,87,29.1,3793,cardio+strength,high,5,very active,2460.5,258.4,196.8,71.1
42,female,1.57,96,38.9,2255,yoga,low,4,sedentary,1384.3,138.4,86.5,53.8
26,female,1.65,70,25.7,3341,yoga,high,2,light,1480.3,148.0,92.5,57.6
52,female,1.64,72,26.8,2342,strength,low,3,sedentary,1088.8,122.5,81.7,30.2
32,male,1.74,68,22.5,2998,yoga,low,3,sedentary,1935.0,145.1,169.3,75.2
35,male,1.68,78,27.6,3504,cardio+strength,medium,3,moderate,2073.0,217.7,165.8,59.9
48,female,1.75,95,31.0,3904,cardio,high,6,very active,2333.7,233.4,204.2,64.8
22,female,1.63,103,38.8,2206,cardio,high,5,very active,2566.6,256.7,224.6,71.3
58,female,1.91,55,15.1,2048,yoga,low,4,sedentary,1851.3,138.8,208.3,51.4
35,male,1.57,59,23.9,2249,cardio,high,6,very active,2417.2,181.3,271.9,67.1
38,male,1.71,98,33.5,3942,yoga,low,4,sedentary,1736.5,173.7,108.5,67.5
23,female,1.66,107,38.8,3701,bodyweight,low,3,sedentary,1697.8,169.8,127.3,56.6
59,male,1.73,107,35.8,2683,cardio,high,6,very active,2710.7,271.1,237.2,75.3
23,male,1.61,102,39.4,1719,cardio+strength,medium,3,moderate,2470.2,259.4,197.6,71.4
37,male,1.69,69,24.2,3072,cardio+strength,high,4,moderate,2427.7,194.2,254.9,70.1
50,female,1.65,107,39.3,3202,yoga,low,4,sedentary,1528.3,152.8,95.5,59.4
60,female,1.69,55,19.3,3815,yoga,low,4,sedentary,1374.3,103.1,120.3,53.4
16,male,1.6,80,31.2,2420,cardio,high,6,very active,2475.6,247.6,216.6,68.8
49,female,1.53,103,44.0,3816,bodyweight,low,3,sedentary,1396.3,139.6,104.7,46.5
62,female,1.72,59,19.9,3845,bodyweight,low,3,sedentary,1432.8,107.5,143.3,47.8
22,female,1.84,91,26.9,3720,yoga,low,3,sedentary,1646.8,164.7,102.9,64.0
63,male,1.83,101,30.2,3737,strength,low,3,sedentary,1712.5,192.7,128.4,47.6
28,female,1.5,76,33.8,2719,cardio+strength,medium,5,moderate,1664.6,174.8,133.2,48.1
17,female,1.58,56,22.4,3298,yoga,low,4,sedentary,1561.8,117.1,136.7,60.7
22,male,1.55,89,37.0,3999,cardio+strength,medium,4,moderate,2218.3,232.9,177.5,64.1
55,female,1.53,62,26.5,2346,cardio+strength,medium,3,moderate,1267.4,133.1,101.4,36.6
28,male,1.74,80,26.4,3944,strength,low,4,sedentary,1603.0,180.3,120.2,44.5
49,male,1.61,82,31.6,2685,strength,low,3,sedentary,1403.5,157.9,105.3,39.0
51,female,1.93,110,29.5,1890,cardio+strength,medium,6,moderate,2429.9,255.1,194.4,70.2
23,female,1.91,80,21.9,2019,cardio,high,5,very active,2963.1,222.2,333.3,82.3
59,male,1.57,86,34.9,2513,cardio,high,5,very active,2175.9,217.6,190.4,60.4
63,female,1.69,79,27.7,3196,yoga,low,4,sedentary,1144.3,114.4,71.5,44.5
39,female,1.49,56,25.2,3150,bodyweight,low,3,sedentary,862.3,86.2,64.7,28.7
47,female,1.8,92,28.4,3362,bodyweight,low,3,sedentary,1478.8,147.9,110.9,49.3
46,female,1.74,56,18.5,3377,cardio+strength,medium,6,moderate,1947.6,155.8,204.5,56.3
55,female,1.88,95,26.9,2392,strength,low,6,sedentary,1526.8,171.8,114.5,42.4
42,male,1.7,86,29.8,2661,cardio+strength,medium,5,moderate,2162.1,227.0,173.0,62.5
36,male,1.73,107,35.8,2907,cardio+strength,medium,3,moderate,2563.2,269.1,205.1,74.0
58,male,1.47,103,47.7,1566,cardio,high,6,very active,2370.0,237.0,207.4,65.8
22,male,1.67,45,16.1,3252,yoga,low,3,sedentary,1966.5,147.5,221.2,54.6
27,male,1.89,83,23.2,2151,cardio,high,6,very active,3245.2,243.4,365.1,90.1
32,male,1.78,77,24.3,1837,yoga,low,3,sedentary,2073.0,155.5,181.4,80.6
38,male,1.48,84,38.3,2459,cardio,high,5,very active,2225.5,222.6,194.7,61.8
42,male,1.8,45,13.9,2374,yoga,low,4,sedentary,1944.0,145.8,218.7,54.0
45,male,1.52,73,31.6,3627,cardio+strength,medium,6,moderate,1763.0,185.1,141.0,50.9
58,female,1.45,88,41.9,1993,cardio+strength,medium,4,moderate,1569.6,164.8,125.6,45.3
42,male,1.69,74,25.9,3069,cardio+strength,high,5,very active,2244.9,235.7,179.6,64.9
20,male,1.5,92,40.9,2725,cardio+strength,medium,5,moderate,2231.9,234.3,178.6,64.5
23,female,1.84,62,18.3,2085,cardio+strength,medium,4,moderate,2615.7,209.3,340.0,46.5
19,male,1.76,66,21.3,3302,yoga,low,3,sedentary,2004.0,150.3,175.4,77.9
