age,gender,height,weight,bmi,calories_intake,exercise_type,intensity_level,duration_minutes,frequency_per_week,estimated_calorie_burn
29,female,1.49,53,23.9,1922,cardio+strength,medium,40,4,242
34,male,1.64,57,21.2,2085,cardio+strength,medium,32,5,208
51,male,1.76,61,19.7,3302,yoga,low,25,4,108
28,male,1.91,118,32.3,3312,cardio,high,23,5,465
21,male,1.83,115,34.3,3072,cardio,high,25,6,492
35,male,1.57,50,20.3,2516,cardio+strength,medium,39,5,222
16,female,1.55,117,48.7,3587,bodyweight,low,23,3,192
62,female,1.6,46,18.0,2480,yoga,low,20,3,65
39,male,1.57,116,47.1,1790,cardio,high,28,5,556
38,female,1.52,112,48.5,3223,cardio,high,25,5,480
63,female,1.93,49,13.2,1568,yoga,low,20,4,70
19,male,1.58,45,18.0,1747,strength,low,20,4,64
47,female,1.76,104,33.6,3201,cardio,high,26,6,463
20,male,1.59,79,31.2,1823,cardio,high,28,5,379
24,female,1.65,48,17.6,2770,strength,low,20,5,68
42,male,1.48,51,23.3,3279,cardio+strength,high,43,5,375
54,male,1.6,62,24.2,1989,yoga,low,20,4,88
23,male,1.53,84,35.9,3642,cardio,high,28,6,403
25,female,1.51,74,32.5,1983,cardio,high,20,6,253
42,female,1.71,73,25.0,3861,cardio+strength,high,60,4,750
46,female,1.71,47,16.1,3546,strength,low,20,6,67
25,female,1.53,53,22.6,3850,cardio+strength,medium,43,4,260
62,male,1.47,41,19.0,2501,yoga,low,20,3,58
38,female,1.91,62,17.0,1644,strength,low,20,4,88
29,female,1.57,80,32.5,2611,cardio,high,21,6,288
22,male,1.54,106,44.7,1688,cardio,high,26,5,472
44,female,1.84,79,23.3,2840,cardio+strength,medium,27,4,243
15,female,1.55,112,46.6,2744,bodyweight,low,29,3,232
30,female,1.63,103,38.8,2300,cardio,high,28,5,494
24,male,1.92,43,11.7,2454,strength,low,20,5,61
37,male,1.93,40,10.7,3041,strength,low,20,6,57
61,female,1.5,107,47.6,2475,yoga,low,26,3,198
18,male,1.81,51,15.6,1679,strength,low,20,3,72
48,female,1.8,87,26.9,3377,cardio+strength,high,42,6,626
21,male,1.77,90,28.7,1806,cardio+strength,medium,31,4,318
57,male,1.57,73,29.6,2790,yoga,low,26,4,135
62,female,1.61,74,28.5,2456,yoga,low,21,2,111
23,male,1.53,61,26.1,3341,cardio+strength,high,54,5,564
41,male,1.72,66,22.3,3351,cardio+strength,high,49,5,554
31,male,1.5,78,34.7,3971,cardio,high,20,5,267
35,male,1.5,71,31.6,2957,cardio,high,26,5,316
58,female,1.58,62,24.8,1627,yoga,low,26,3,115
50,male,1.5,53,23.6,2072,yoga,medium,28,2,169
18,male,1.52,91,39.4,3024,cardio,high,30,5,468
52,female,1.91,49,13.4,1589,yoga,low,20,2,70
27,female,1.85,51,14.9,2858,strength,low,20,3,72
17,female,1.48,113,51.6,3274,bodyweight,low,26,3,209
46,male,1.64,94,34.9,2207,cardio,high,25,5,402
26,female,1.59,59,23.3,1641,cardio+strength,medium,37,5,249
33,female,1.66,110,39.9,3462,cardio,high,20,5,377
32,female,1.52,65,28.1,3653,cardio+strength,high,47,6,523
49,male,1.94,85,22.6,3464,cardio+strength,high,57,5,830
37,female,1.64,63,23.4,1606,cardio+strength,medium,35,3,252
16,female,1.48,100,45.7,3668,bodyweight,low,25,3,178
64,male,1.94,52,13.8,2515,yoga,low,20,4,74
30,female,1.72,47,15.9,2398,strength,low,20,5,67
39,female,1.92,62,16.8,2221,strength,low,20,3,88
52,female,1.85,85,24.8,3923,yoga,low,20,4,121
59,female,1.92,112,30.4,2082,yoga,low,29,2,232
46,female,1.54,44,18.6,1869,cardio+strength,medium,26,3,130
53,male,1.46,101,47.4,1502,yoga,low,25,4,180
27,male,1.62,62,23.6,2825,cardio+strength,medium,31,3,219
24,male,1.84,107,31.6,2994,cardio,high,21,6,385
60,female,1.74,83,27.4,2736,yoga,low,25,2,148
25,female,1.85,102,29.8,2799,cardio+strength,medium,35,5,408
50,female,1.56,115,47.3,2218,yoga,high,26,3,512
61,female,1.51,40,17.5,3846,yoga,low,20,3,57
64,male,1.54,80,33.7,2404,yoga,low,30,4,171
21,female,1.52,49,21.2,2474,cardio+strength,medium,41,4,229
25,male,1.86,82,23.7,3329,cardio+strength,high,40,5,562
28,male,1.8,84,25.9,2551,cardio+strength,medium,33,5,316
15,male,1.64,93,34.6,2181,bodyweight,low,26,3,172
46,female,1.63,88,33.1,1915,cardio,high,27,5,407
25,female,1.49,44,19.8,2707,cardio+strength,medium,30,4,150
31,male,1.49,61,27.5,3037,cardio+strength,high,45,6,470
19,male,1.62,118,45.0,3477,cardio,high,20,6,404
56,male,1.75,95,31.0,2143,yoga,low,20,2,135
36,male,1.94,92,24.4,3769,cardio+strength,high,57,5,898
57,female,1.6,52,20.3,1703,yoga,low,26,4,96
50,female,1.53,86,36.7,1515,yoga,high,26,2,383
33,female,1.55,43,17.9,2347,strength,low,20,3,61
55,female,1.94,100,26.6,1973,yoga,low,24,3,171
45,female,1.9,73,20.2,1873,cardio+strength,medium,37,3,308
38,female,1.63,97,36.5,1682,cardio,high,24,6,399
44,female,1.56,74,30.4,3811,cardio,high,20,5,253
63,male,1.49,84,37.8,3717,yoga,low,26,4,156
29,male,1.87,106,30.3,3214,cardio,high,28,6,508
51,male,1.69,50,17.5,3117,yoga,low,20,4,71
17,male,1.51,97,42.5,2208,bodyweight,low,22,3,152
28,male,1.51,94,41.2,1820,cardio,high,30,6,483
27,male,1.87,73,20.9,2809,cardio+strength,medium,32,3,266
39,female,1.73,75,25.1,3628,cardio+strength,high,54,4,694
65,female,1.51,59,25.9,2107,yoga,low,29,4,122
52,male,1.91,112,30.7,1913,yoga,low,24,4,192
37,female,1.58,102,40.9,3843,cardio,high,29,6,507
17,male,1.59,58,22.9,3993,bodyweight,low,52,3,215
17,female,1.89,82,23.0,2473,bodyweight,low,26,3,152
62,female,1.91,87,23.8,1582,yoga,low,25,3,155
34,female,1.87,52,14.9,2433,strength,low,20,3,74
34,female,1.84,81,23.9,2603,cardio+strength,medium,43,5,398
56,male,1.54,67,28.3,3167,yoga,low,27,4,129
38,male,1.71,60,20.5,1768,cardio+strength,medium,34,4,233
23,male,1.54,65,27.4,1736,cardio+strength,medium,37,3,274
44,male,1.91,65,17.8,2622,strength,low,20,4,92
44,female,1.77,55,17.6,1625,strength,low,20,3,78
38,female,1.75,62,20.2,3443,cardio+strength,medium,58,6,410
37,female,1.53,73,31.2,1870,cardio,high,24,5,300
39,male,1.53,113,48.3,2377,cardio,high,23,5,445
58,male,1.58,92,36.9,3602,yoga,low,20,4,131
15,female,1.91,62,17.0,3962,bodyweight,low,20,3,88
15,male,1.58,79,31.6,2627,bodyweight,low,26,3,146
39,female,1.68,67,23.7,3411,cardio+strength,medium,49,6,375
48,female,1.74,40,13.2,3595,strength,low,20,6,57
38,female,1.6,53,20.7,3473,cardio+strength,medium,42,5,254
32,female,1.88,73,20.7,2723,cardio+strength,medium,36,3,300
48,male,1.9,116,32.1,3155,cardio,high,30,6,596
58,male,1.81,103,31.4,2710,yoga,low,24,3,176
40,female,1.82,114,34.4,3843,cardio,high,23,6,449
61,male,1.79,100,31.2,2968,yoga,low,28,3,200
25,male,1.6,100,39.1,2024,cardio,high,24,5,411
58,female,1.78,68,21.5,2955,yoga,low,23,4,111
34,female,1.84,82,24.2,3022,cardio+strength,medium,48,6,449
33,female,1.88,100,28.3,1719,cardio+strength,medium,32,4,365
27,male,1.88,88,24.9,3670,cardio+strength,high,49,5,739
18,male,1.52,65,28.1,2903,cardio+strength,medium,43,5,319
44,male,1.61,63,24.3,1831,cardio+strength,medium,40,4,288
55,male,1.61,47,18.1,1519,yoga,low,20,3,67
32,male,1.83,61,18.2,3860,strength,low,20,4,87
46,male,1.51,95,41.7,3258,cardio,high,26,6,423
45,female,1.45,108,51.4,2316,cardio,high,25,5,462
35,male,1.46,40,18.8,2519,cardio+strength,medium,37,5,169
37,female,1.51,89,39.0,3561,cardio,high,29,6,442
25,male,1.86,78,22.5,2691,cardio+strength,medium,44,5,392
48,female,1.67,57,20.4,2903,cardio+strength,medium,40,4,260
63,male,1.53,91,38.9,1578,yoga,low,23,2,149
61,male,1.56,42,17.3,3915,yoga,low,20,4,60
25,male,1.63,44,16.6,3036,strength,low,20,6,62
31,male,1.75,46,15.0,1942,strength,low,20,5,65
16,male,1.79,93,29.0,3319,bodyweight,low,52,3,345
22,female,1.69,59,20.7,2341,cardio+strength,medium,30,4,202
41,male,1.78,74,23.4,3980,cardio+strength,high,44,5,558
21,male,1.59,53,21.0,3538,cardio+strength,high,46,6,417
27,female,1.87,65,18.6,2966,cardio+strength,medium,43,4,319
25,male,1.72,66,22.3,3468,cardio+strength,high,50,4,565
15,male,1.79,54,16.9,3851,bodyweight,low,20,3,77
57,female,1.52,51,22.1,3595,yoga,low,21,4,76
61,male,1.9,69,19.1,3370,yoga,low,24,3,118
44,male,1.5,62,27.6,1661,cardio+strength,medium,34,4,240
58,female,1.66,54,19.6,1889,yoga,low,20,2,77
23,male,1.61,96,37.0,2598,cardio,high,21,6,345
36,male,1.51,91,39.9,3369,cardio,high,24,6,374
59,female,1.85,61,17.8,1963,yoga,low,20,2,87
59,male,1.94,60,15.9,1924,yoga,low,20,3,85
52,female,1.85,96,28.0,2242,yoga,low,29,3,198
64,female,1.76,56,18.1,3478,yoga,low,20,3,80
22,female,1.67,48,17.2,2571,strength,low,20,5,68
35,male,1.8,107,33.0,3861,cardio,high,29,5,531
57,female,1.71,119,40.7,1890,yoga,low,26,4,221
61,male,1.69,89,31.2,2108,yoga,low,28,4,178
18,male,1.77,60,19.2,3570,cardio+strength,high,55,5,565
25,male,1.83,81,24.2,2486,cardio+strength,medium,40,4,370
18,male,1.73,88,29.4,3151,cardio+strength,high,47,4,709
44,female,1.85,97,28.3,1860,cardio+strength,medium,40,4,443
35,male,1.94,42,11.2,1920,strength,low,20,4,60
41,male,1.73,40,13.4,1872,strength,low,20,4,57
47,male,1.78,98,30.9,2896,cardio,high,25,5,420
29,female,1.62,119,45.3,3957,cardio,high,27,6,550
60,female,1.51,68,29.8,1508,yoga,low,25,3,121
55,female,1.72,87,29.4,1935,yoga,low,20,2,124
46,male,1.86,92,26.6,1938,cardio+strength,medium,33,3,346
27,male,1.92,90,24.4,2383,cardio+strength,medium,44,3,452
60,female,1.5,93,41.3,1690,yoga,low,30,4,199
52,male,1.84,97,28.7,3373,yoga,low,30,4,207
47,male,1.93,40,10.7,3672,strength,low,20,6,57
18,female,1.87,101,28.9,3582,cardio+strength,high,45,6,779
52,male,1.82,56,16.9,1924,yoga,low,20,3,80
57,female,1.7,89,30.8,3214,yoga,low,29,4,184
63,male,1.59,83,32.8,2704,yoga,low,27,2,160
23,female,1.75,105,34.3,2724,cardio,high,28,6,504
60,male,1.55,119,49.5,2690,yoga,low,30,3,255
58,male,1.94,62,16.5,3563,yoga,low,20,4,88
59,female,1.81,85,25.9,3803,yoga,low,27,4,163
51,female,1.79,108,33.7,2671,yoga,low,26,2,200
48,male,1.46,58,27.2,1717,cardio+strength,medium,26,3,172
32,male,1.94,72,19.1,2099,cardio+strength,medium,31,5,255
65,female,1.55,109,45.4,1632,yoga,low,25,3,194
21,male,1.82,111,33.5,3092,cardio,high,23,6,437
59,male,1.91,89,24.4,3206,yoga,low,30,3,190
50,male,1.46,72,33.8,2331,yoga,high,29,3,357
29,female,1.83,109,32.5,3971,cardio,high,23,5,429
33,female,1.54,49,20.7,2265,cardio+strength,medium,35,5,196
47,male,1.64,94,34.9,2643,cardio,high,28,6,451
23,male,1.74,72,23.8,1523,cardio+strength,medium,40,4,329
60,male,1.47,81,37.5,3944,yoga,low,20,4,115
54,female,1.7,113,39.1,3753,yoga,low,25,2,201
65,female,1.71,63,21.5,3632,yoga,low,21,4,94
25,female,1.72,91,30.8,1876,cardio,high,25,5,390
28,female,1.62,77,29.3,2394,cardio+strength,medium,45,5,396
63,male,1.51,84,36.8,3325,yoga,low,23,4,138
54,male,1.93,81,21.7,3062,yoga,low,21,3,121
31,female,1.46,106,49.7,3035,cardio,high,28,6,508
46,male,1.6,64,25.0,2812,cardio+strength,medium,27,3,197
25,male,1.76,66,21.3,2373,cardio+strength,medium,43,3,324
28,female,1.77,49,15.6,2129,strength,low,20,3,70
44,female,1.47,49,22.7,1722,cardio+strength,medium,30,4,168
50,male,1.74,69,22.8,2559,yoga,medium,38,3,299
43,female,1.67,42,15.1,3095,strength,low,20,6,60
22,male,1.77,119,38.0,1759,cardio,high,29,5,591
59,male,1.63,104,39.1,1934,yoga,low,24,4,178
34,male,1.59,96,38.0,3062,cardio,high,26,5,427
45,male,1.72,57,19.3,3101,cardio+strength,high,57,5,556
55,male,1.6,87,34.0,1545,yoga,low,28,4,174
24,male,1.47,113,52.3,3943,cardio,high,26,5,503
34,male,1.82,84,25.4,2367,cardio+strength,medium,43,5,412
47,male,1.53,68,29.0,2535,cardio+strength,medium,31,3,240
26,male,1.88,110,31.1,3389,cardio,high,30,5,565
33,male,1.58,65,26.0,3878,cardio+strength,high,55,5,612
37,male,1.79,70,21.8,1909,cardio+strength,medium,34,3,272
27,female,1.69,82,28.7,2752,cardio+strength,medium,34,5,318
51,female,1.85,94,27.5,2190,yoga,low,20,3,134
30,male,1.81,95,29.0,2633,cardio+strength,medium,41,3,445
58,female,1.89,99,27.7,3324,yoga,low,25,3,176
46,male,1.54,117,49.3,1835,cardio,high,24,5,481
49,male,1.58,120,48.1,1813,cardio,high,21,5,432
47,male,1.86,114,33.0,3159,cardio,high,29,5,566
17,female,1.72,109,36.8,3433,bodyweight,low,30,3,233
64,male,1.63,68,25.6,3915,yoga,low,24,2,116
44,male,1.65,104,38.2,1543,cardio,high,30,5,534
54,male,1.83,57,17.0,3327,yoga,low,20,2,81
26,male,1.82,101,30.5,2969,cardio,high,20,5,346
63,female,1.57,73,29.6,3013,yoga,low,23,2,119
57,male,1.71,86,29.4,3089,yoga,low,27,3,165
17,male,1.94,81,21.5,1922,bodyweight,low,33,3,190
62,female,1.74,112,37.0,2212,yoga,low,26,4,208
39,female,1.74,49,16.2,3616,strength,low,20,5,70
39,male,1.71,85,29.1,2913,cardio+strength,medium,40,4,388
53,male,1.7,57,19.7,3301,yoga,low,22,2,89
19,female,1.56,63,25.9,2144,cardio+strength,medium,41,5,295
60,male,1.78,93,29.4,2852,yoga,low,21,3,139
58,female,1.69,115,40.3,2160,yoga,low,30,3,246
16,male,1.47,113,52.3,3926,bodyweight,low,22,3,177
23,male,1.9,58,16.1,1729,strength,low,20,3,82
31,male,1.71,91,31.1,3954,cardio,high,29,5,452
61,female,1.92,67,18.2,3339,yoga,low,20,4,95
45,female,1.54,92,38.8,3961,cardio,high,22,5,346
54,female,1.53,83,35.5,3357,yoga,low,29,4,171
19,male,1.64,56,20.8,1944,cardio+strength,medium,30,3,192
48,female,1.86,117,33.8,1894,cardio,high,22,6,441
54,male,1.89,108,30.2,3561,yoga,low,21,2,162
45,male,1.9,109,30.2,1504,cardio,high,30,6,560
48,female,1.64,45,16.7,3670,strength,low,20,5,64
29,female,1.84,88,26.0,2935,cardio+strength,medium,33,4,331
23,female,1.69,69,24.2,1843,cardio+strength,medium,39,5,307
49,female,1.58,40,16.0,1529,strength,low,20,3,57
48,male,1.64,66,24.5,2793,cardio+strength,medium,38,4,286
21,male,1.66,114,41.4,2538,cardio,high,24,6,469
51,female,1.76,90,29.1,2334,yoga,low,26,4,167
65,female,1.54,111,46.8,3772,yoga,low,27,3,214
34,female,1.84,90,26.6,2065,cardio+strength,medium,33,5,339
29,female,1.84,60,17.7,1910,strength,low,20,3,85
47,female,1.84,110,32.5,1713,cardio,high,22,6,414
55,male,1.85,58,16.9,3431,yoga,low,20,4,82
42,male,1.48,68,31.0,3018,cardio,high,21,5,244
61,female,1.92,91,24.7,3634,yoga,low,24,4,156
53,male,1.92,62,16.8,3524,yoga,low,20,3,88
15,male,1.88,106,30.0,2671,bodyweight,low,31,3,234
17,male,1.76,44,14.2,2973,bodyweight,low,20,3,62
30,male,1.94,51,13.6,2630,strength,low,20,4,72
37,female,1.65,65,23.9,3620,cardio+strength,medium,40,6,297
60,male,1.91,110,30.2,2665,yoga,low,28,4,220
37,female,1.93,75,20.1,2426,cardio+strength,medium,31,4,265
40,male,1.58,92,36.9,3573,cardio,high,21,5,331
47,female,1.62,54,20.6,3602,cardio+strength,medium,48,6,296
65,female,1.8,88,27.2,3806,yoga,low,27,2,169
63,female,1.93,98,26.3,3387,yoga,low,29,2,203
45,male,1.58,88,35.3,2402,cardio,high,30,5,452
35,female,1.93,106,28.5,3694,cardio+strength,high,40,6,726
31,male,1.59,91,36.0,2900,cardio,high,21,5,327
45,female,1.63,113,42.5,2602,cardio,high,22,5,426
46,male,1.57,70,28.4,2587,cardio+strength,medium,31,3,248
27,male,1.87,85,24.3,2138,cardio+strength,medium,33,3,320
20,female,1.76,109,35.2,1673,cardio,high,27,6,504
54,female,1.7,113,39.1,2625,yoga,low,27,2,217
63,female,1.65,113,41.5,2025,yoga,low,20,4,161
42,female,1.92,44,11.9,3558,strength,low,20,5,62
40,male,1.68,55,19.5,3622,cardio+strength,high,54,5,509
59,male,1.46,66,31.0,3054,yoga,low,29,2,136
35,female,1.76,73,23.6,2266,cardio+strength,medium,38,3,317
32,female,1.93,83,22.3,2998,cardio+strength,medium,35,4,332
42,male,1.66,87,31.6,2995,cardio,high,26,6,387
43,male,1.74,113,37.3,2436,cardio,high,21,6,406
30,female,1.88,65,18.4,2097,strength,low,20,5,92
24,female,1.85,62,18.1,3226,strength,low,20,5,88
23,female,1.84,78,23.0,2527,cardio+strength,medium,31,4,276
21,male,1.48,72,32.9,3451,cardio,high,30,5,370
43,female,1.58,86,34.4,3795,cardio,high,28,6,412
37,male,1.66,84,30.5,3980,cardio,high,23,5,331
64,female,1.63,105,39.5,3496,yoga,low,27,2,202
39,female,1.68,58,20.5,2186,cardio+strength,medium,35,4,232
55,female,1.87,49,14.0,1824,yoga,low,20,2,70
36,male,1.61,77,29.7,2595,cardio+strength,medium,37,4,325
43,female,1.82,106,32.0,3344,cardio,high,26,5,472
26,male,1.51,70,30.7,2530,cardio,high,21,5,252
25,female,1.5,48,21.3,3438,cardio+strength,medium,57,4,312
16,female,1.71,50,17.1,1925,bodyweight,low,20,3,71
31,male,1.49,89,40.1,2767,cardio,high,23,5,350
62,female,1.67,56,20.1,2037,yoga,low,28,2,112
16,male,1.78,81,25.6,3450,bodyweight,low,54,3,312
49,female,1.72,57,19.3,3708,cardio+strength,medium,45,6,293
53,female,1.77,112,35.7,3281,yoga,low,28,4,224
55,female,1.9,101,28.0,3710,yoga,low,23,2,165
43,female,1.63,73,27.5,2137,cardio+strength,medium,34,3,283
15,male,1.62,100,38.1,3691,bodyweight,low,20,3,142
59,female,1.92,101,27.4,2727,yoga,low,20,3,144
33,male,1.85,110,32.1,3030,cardio,high,23,6,433
50,female,1.65,60,22.0,3096,yoga,medium,52,2,356
31,male,1.66,70,25.4,3616,cardio+strength,high,59,6,708
58,female,1.59,108,42.7,2601,yoga,low,26,2,200
19,male,1.52,54,23.4,3365,cardio+strength,high,59,5,546
32,female,1.54,42,17.7,2123,strength,low,20,3,60
49,male,1.54,53,22.3,2655,cardio+strength,medium,33,3,199
60,female,1.81,69,21.1,1869,yoga,low,22,2,108
46,male,1.62,79,30.1,3541,cardio,high,25,6,338
59,male,1.62,58,22.1,1729,yoga,low,24,3,99
19,female,1.54,72,30.4,3062,cardio,high,20,5,246
64,male,1.64,96,35.7,2512,yoga,low,20,2,137
44,male,1.71,66,22.6,3436,cardio+strength,high,52,6,588
34,female,1.53,45,19.2,3751,cardio+strength,medium,56,4,288
31,female,1.77,65,20.7,2976,cardio+strength,medium,31,5,230
28,male,1.57,95,38.5,2829,cardio,high,20,5,325
65,female,1.74,90,29.7,2495,yoga,low,20,2,128
52,female,1.79,59,18.4,3021,yoga,low,20,2,84
30,male,1.7,119,41.2,2886,cardio,high,30,5,612
18,female,1.77,108,34.5,1939,cardio,high,22,6,407
29,female,1.94,84,22.3,3296,cardio+strength,medium,46,4,441
59,female,1.63,57,21.5,2526,yoga,low,20,3,81
60,female,1.73,109,36.4,3507,yoga,low,23,4,179
26,female,1.61,99,38.2,2627,cardio,high,29,5,492
19,male,1.67,73,26.2,3718,cardio+strength,high,51,5,638
15,female,1.82,42,12.7,2991,bodyweight,low,20,3,60
64,male,1.61,48,18.5,3707,yoga,low,26,2,89
48,female,1.83,59,17.6,2659,strength,low,20,4,84
41,female,1.51,106,46.5,1773,cardio,high,20,5,363
26,male,1.55,102,42.5,2284,cardio,high,21,5,367
51,female,1.78,107,33.8,3917,yoga,low,24,2,183
38,male,1.75,49,16.0,1553,strength,low,20,3,70
56,female,1.91,50,13.7,3417,yoga,low,20,4,71
18,female,1.73,93,31.1,3011,cardio,high,20,6,318
48,male,1.82,78,23.5,1819,cardio+strength,medium,31,3,276
21,male,1.72,64,21.6,2291,cardio+strength,medium,37,5,270
55,male,1.73,111,37.1,3200,yoga,low,21,4,166
51,female,1.79,94,29.3,1926,yoga,low,22,2,147
50,female,1.7,60,20.8,3686,yoga,medium,59,3,404
37,female,1.73,81,27.1,3022,cardio+strength,high,53,6,735
42,female,1.75,112,36.6,3734,cardio,high,23,6,441
64,female,1.63,97,36.5,3332,yoga,low,26,2,180
61,male,1.94,116,30.8,1566,yoga,low,28,2,232
34,male,1.6,68,26.6,2379,cardio+strength,medium,40,3,310
64,female,1.91,105,28.8,3778,yoga,low,29,4,217
24,male,1.47,85,39.3,2139,cardio,high,22,6,320
38,male,1.57,78,31.6,1876,cardio,high,29,6,387
51,male,1.82,81,24.5,3476,yoga,low,22,3,127
59,male,1.75,78,25.5,1653,yoga,low,29,3,161
20,male,1.91,82,22.5,2925,cardio+strength,medium,43,4,402
22,male,1.82,117,35.3,1546,cardio,high,30,6,601
18,female,1.71,80,27.4,3711,cardio+strength,high,58,4,795
35,male,1.53,90,38.4,3325,cardio,high,29,5,447
29,female,1.59,90,35.6,2106,cardio,high,22,6,339
20,female,1.74,46,15.2,3745,strength,low,20,5,65
31,male,1.65,95,34.9,2034,cardio,high,22,6,358
50,male,1.69,113,39.6,2303,yoga,high,28,4,542
62,male,1.57,74,30.0,3261,yoga,low,25,4,132
51,male,1.51,92,40.3,3234,yoga,low,25,3,164
27,female,1.62,43,16.4,2748,strength,low,20,3,61
37,female,1.76,96,31.0,1683,cardio,high,23,5,378
58,female,1.53,50,21.4,1960,yoga,low,20,2,71
54,male,1.88,76,21.5,1556,yoga,low,25,4,135
22,female,1.68,42,14.9,2859,strength,low,20,3,60
62,male,1.55,106,44.1,2559,yoga,low,28,3,212
54,male,1.8,42,13.0,3042,yoga,low,20,4,60
57,male,1.58,47,18.8,2663,yoga,low,23,4,77
54,female,1.48,41,18.7,1772,yoga,low,26,4,76
32,female,1.88,42,11.9,2698,strength,low,20,5,60
39,male,1.94,105,27.9,1907,cardio+strength,medium,35,4,420
53,male,1.54,104,43.9,3375,yoga,low,28,4,208
16,male,1.57,107,43.4,2748,bodyweight,low,25,3,191
46,female,1.82,42,12.7,2920,strength,low,20,4,60
37,female,1.57,104,42.2,2629,cardio,high,20,6,356
39,male,1.92,75,20.3,2423,cardio+strength,medium,29,4,248
40,male,1.49,88,39.6,3632,cardio,high,30,5,452
41,male,1.74,94,31.0,2779,cardio,high,29,6,467
43,male,1.55,57,23.7,3879,cardio+strength,high,57,6,556
27,male,1.6,107,41.8,2053,cardio,high,26,5,476
56,male,1.61,111,42.8,3683,yoga,low,21,2,166
35,male,1.81,80,24.4,3195,cardio+strength,high,53,5,726
43,female,1.53,64,27.3,1937,cardio+strength,medium,29,3,212
16,female,1.75,118,38.5,2445,bodyweight,low,29,3,244
29,male,1.79,85,26.5,1825,cardio+strength,medium,45,3,437
47,female,1.81,87,26.6,2253,cardio+strength,medium,37,4,367
45,male,1.53,68,29.0,1632,cardio+strength,medium,38,3,295
32,female,1.56,65,26.7,2337,cardio+strength,medium,32,3,237
43,female,1.79,98,30.6,2510,cardio,high,26,6,436
64,male,1.75,88,28.7,2781,yoga,low,26,4,163
62,male,1.71,97,33.2,3371,yoga,low,20,2,138
48,female,1.94,45,12.0,3784,strength,low,20,5,64
48,male,1.54,96,40.5,3130,cardio,high,24,6,394
44,male,1.66,118,42.8,1723,cardio,high,28,5,566
44,female,1.5,104,46.2,1963,cardio,high,22,5,392
40,female,1.61,43,16.6,2232,strength,low,20,4,61
52,male,1.89,51,14.3,2524,yoga,low,20,3,72
59,male,1.81,55,16.8,1873,yoga,low,20,2,78
60,female,1.77,50,16.0,3645,yoga,low,20,4,71
39,male,1.64,88,32.7,1679,cardio,high,22,6,331
51,male,1.53,58,24.8,2232,yoga,low,20,3,82
34,female,1.82,97,29.3,2682,cardio+strength,medium,35,3,388
23,male,1.45,72,34.2,1550,cardio,high,27,6,333
46,male,1.75,103,33.6,2474,cardio,high,23,6,406
44,female,1.67,116,41.6,3958,cardio,high,20,5,397
50,female,1.76,111,35.8,2350,yoga,high,20,2,380
24,male,1.78,44,13.9,2095,strength,low,20,3,62
57,female,1.62,51,19.4,1700,yoga,low,21,3,76
26,male,1.79,118,36.8,3936,cardio,high,29,5,586
44,female,1.92,51,13.8,2725,strength,low,20,4,72
38,female,1.86,94,27.2,3754,cardio+strength,high,42,5,676
45,male,1.51,75,32.9,2848,cardio,high,28,6,360
48,male,1.8,118,36.4,1738,cardio,high,21,5,424
45,female,1.66,80,29.0,2563,cardio+strength,medium,36,3,329
54,female,1.71,120,41.0,3538,yoga,low,27,2,231
54,male,1.8,64,19.8,1506,yoga,low,21,2,96
44,male,1.82,66,19.9,3198,cardio+strength,high,53,4,599
36,female,1.73,67,22.4,1546,cardio+strength,medium,31,4,237
31,male,1.6,104,40.6,3752,cardio,high,25,5,445
22,female,1.62,112,42.7,1619,cardio,high,22,5,422
36,female,1.91,101,27.7,3443,cardio+strength,high,41,6,709
23,female,1.53,98,41.9,3699,cardio,high,25,6,420
65,female,1.91,47,12.9,3634,yoga,low,20,3,67
51,female,1.73,42,14.0,2353,yoga,low,20,4,60
58,female,1.85,85,24.8,1771,yoga,low,22,3,133
16,female,1.94,120,31.9,3688,bodyweight,low,22,3,188
51,female,1.54,54,22.8,2762,yoga,low,25,4,96
17,female,1.66,103,37.4,2473,bodyweight,low,25,3,183
43,female,1.56,78,32.1,2216,cardio,high,21,6,280
65,male,1.84,51,15.1,3317,yoga,low,20,4,72
16,female,1.9,59,16.3,2279,bodyweight,low,20,3,84
36,female,1.82,107,32.3,2771,cardio,high,25,5,458
64,male,1.86,106,30.6,2043,yoga,low,23,4,174
17,female,1.64,106,39.4,1974,bodyweight,low,20,3,151
34,male,1.79,116,36.2,1856,cardio,high,25,6,497
17,male,1.71,79,27.0,1592,bodyweight,low,34,3,191
55,male,1.61,64,24.7,2673,yoga,low,24,4,109
35,female,1.79,74,23.1,2111,cardio+strength,medium,35,4,296
22,male,1.93,111,29.8,3605,cardio+strength,high,43,4,818
49,female,1.72,74,25.0,2079,cardio+strength,medium,34,3,287
25,male,1.61,83,32.0,3714,cardio,high,27,5,384
23,male,1.69,46,16.1,1933,strength,low,20,4,65
18,male,1.66,62,22.5,3941,cardio+strength,high,58,6,616
59,female,1.76,79,25.5,2861,yoga,low,23,4,129
63,male,1.94,99,26.3,3825,yoga,low,22,2,155
59,female,1.5,79,35.1,3406,yoga,low,27,2,152
29,male,1.88,118,33.4,2556,cardio,high,25,6,505
26,female,1.84,81,23.9,3356,cardio+strength,medium,55,4,509
19,female,1.51,101,44.3,3389,cardio,high,22,6,380
64,female,1.75,56,18.3,3580,yoga,low,20,2,80
